,symbol,price,price_change,price_percent_change
0,HTZ,8.24,2.53,44.31
1,QURE,13.0,3.61,38.45
2,FATN,12.43,3.38,37.35
3,BIYA,3.19,0.82,34.6
4,ZYBT,10.06,2.44,32.02
5,RYET,7.72,1.7,28.24
6,HPH,6.56,1.2,22.39
7,MGRX,2.57,0.47,22.38
8,ALTS,5.15,0.91,21.46
9,KOD,2.84,0.48,20.34
10,SPAI,2.46,0.41,20.0
11,ELPW,3.89,0.64,19.69
12,LXEO,2.71,0.43,18.86
13,FLD,3.84,0.59,18.15
14,GPCR,21.76,3.23,17.43
15,MTEN,4.22,0.62,17.22
16,CAPR,11.25,1.61,16.7
17,BCG,2.4,0.34,16.5
18,TZUP,5.03,0.71,16.44
19,CAR,84.59,11.9,16.37
20,NAMI,3.59,0.5,16.18
21,PRTG,7.84,1.09,16.15
22,CHA,32.44,4.44,15.86
23,VSTM,5.74,0.78,15.73
24,NNOX,5.2,0.7,15.56
25,VBNK,11.22,1.48,15.2
26,HOFT,8.69,1.12,14.8
27,DWTX,4.27,0.54,14.48
28,LAZR,3.8,0.47,14.11
29,TATT,32.84,3.98,13.79
30,ADTX,2.5,0.3,13.64
31,PRAX,33.79,3.96,13.29
32,AIXI,2.92,0.34,12.93
33,MGNI,11.13,1.23,12.42
34,ARVN,8.6,0.95,12.42
35,PUBM,9.13,0.99,12.16
36,KPTI,4.95,0.53,11.99
37,GYRE,8.88,0.94,11.84
38,LICN,3.53,0.37,11.71
39,DJT,22.04,2.3,11.65
40,MURA,2.7,0.28,11.57
41,MTSR,19.57,2.02,11.51
42,SION,11.07,1.07,10.7
43,CRML,2.49,0.24,10.67
44,HAIN,2.97,0.28,10.41
45,IMNM,7.91,0.74,10.32
46,VCIG,3.0,0.28,10.29
47,TRML,16.01,1.49,10.26
48,NUKK,13.89,1.29,10.24
49,EVO,3.6,0.33,10.09
50,QSG,4.28,0.38,9.74
51,BHAT,2.37,0.21,9.72
52,NDRA,3.67,0.32,9.55
53,FHTX,3.8,0.33,9.51
54,CDZI,2.72,0.23,9.46
55,ALAR,8.23,0.71,9.44
56,SUNS,9.06,0.78,9.42
57,SGMT,2.21,0.19,9.41
58,PLAY,19.98,1.69,9.24
59,RDHL,2.26,0.19,9.18
60,APPS,3.12,0.26,9.09
61,ALDX,2.19,0.18,8.96
62,CURI,3.17,0.26,8.93
63,NUTX,149.0,12.11,8.85
64,BMBL,4.36,0.35,8.73
65,FNKO,4.37,0.35,8.71
66,QRHC,2.25,0.18,8.7
67,BETR,14.29,1.14,8.67
68,SNBR,5.28,0.42,8.64
69,ACDC,4.9,0.38,8.41
70,GDS,21.47,1.65,8.32
71,SLN,3.14,0.24,8.28
72,NXXT,3.32,0.25,8.14
73,RSSS,2.8,0.21,8.11
74,DLTR,79.14,5.93,8.1
75,LFMD,5.44,0.41,8.05
76,MREO,2.3,0.17,7.98
77,LASE,2.72,0.2,7.94
78,ANAB,20.55,1.49,7.82
79,COEP,10.0,0.72,7.82
80,BYND,2.76,0.2,7.81
81,KSCP,4.82,0.34,7.7
82,FIVE,67.51,4.79,7.64
83,PESI,8.26,0.58,7.55
84,MFH,5.85,0.41,7.54
85,FULC,3.29,0.23,7.52
86,CGTL,5.62,0.39,7.46
87,EPSN,6.79,0.46,7.27
88,JBLU,3.67,0.24,7.15
89,TERN,2.4,0.16,7.14
90,ORKA,9.22,0.61,7.08
91,ZBIO,8.92,0.59,7.08
92,SMMT,24.61,1.56,6.77
93,EOLS,10.79,0.68,6.73
94,NGNE,11.49,0.72,6.69
95,ADSE,12.7,0.79,6.63
96,FWRD,15.63,0.97,6.62
97,NEON,9.06,0.56,6.59
98,SPCB,6.4,0.39,6.49
99,HYMC,3.67,0.22,6.38
