,Unnamed: 0,Volume,Last,Chg,% Chg
0,Sonoma Pharmaceuticals Inc. (SNOA),47.0M,3.82,1.49,63.73
1,American Rebel Holdings Inc. (AREB),11.3M,3.21,1.0,45.25
2,Instil Bio Inc. (TIL),234.8K,23.2,6.71,40.69
3,Pony AI Inc. ADR (PONY),3.9M,5.53,1.37,32.93
4,Pegasystems Inc. (PEGA),1.2M,90.93,22.17,32.24
5,Rezolute Inc. (RZLT),10.7M,4.0,0.89,28.62
6,Seres Therapeutics Inc. (MCRB),260.6K,10.49,2.33,28.55
7,MIND Technology Inc. (MIND),556.0K,6.93,1.49,27.39
8,Healthcare Services Group Inc. (HCSG),444.0K,11.8,2.39,25.4
9,Novavax Inc. (NVAX),5.4M,7.77,1.52,24.3
10,Kodiak Sciences Inc. (KOD),279.3K,4.52,0.88,24.1
11,Cantor Equity Partners Inc. (CEP),3.7M,13.05,2.43,22.88
12,Power Solutions International Inc. (PSIX),167.9K,25.74,4.72,22.45
13,Neurogene Inc. (NGNE),100.6K,16.65,2.82,20.39
14,Upexi Inc. (UPXI),7.3M,10.83,1.83,20.33
15,VNET Group Inc. ADR (VNET),3.8M,5.83,0.96,19.69
16,Hesai Group ADR (HSAI),4.3M,15.66,2.56,19.6
17,GRAIL Inc. (GRAL),745.6K,35.0,5.31,17.89
18,CommScope Holding Co. Inc. (COMM),1.1M,3.8,0.56,17.49
19,Summit Therapeutics Inc. (SMMT),3.3M,32.1,4.75,17.37
20,ENDRA Life Sciences Inc. (NDRA),1.1M,3.62,0.53,17.28
21,Amprius Technologies Inc. (AMPX),951.7K,2.54,0.37,17.05
22,Tempus AI Inc. (TEM),5.9M,50.3,7.08,16.37
23,Serve Robotics Inc. (SERV),1.8M,6.12,0.85,16.13
24,Patriot National Bancorp Inc. (PNBK),133.6K,3.59,0.47,15.06
25,Scilex Holding Co. (SCLX),99.9K,4.58,0.59,14.79
26,REGENXBIO Inc. (RGNX),437.5K,8.93,1.11,14.19
27,BioNTech SE ADR (BNTX),724.2K,119.37,14.69,14.03
28,Protara Therapeutics Inc. (TARA),134.8K,4.49,0.55,13.96
29,Maxeon Solar Technologies Ltd. (MAXN),150.8K,3.11,0.38,13.92
30,Biomerica Inc. (BMRA),174.6K,3.82,0.47,13.88
31,Applied Optoelectronics Inc. (AAOI),1.9M,12.46,1.51,13.79
32,Aeva Technologies Inc. (AEVA),376.2K,7.03,0.85,13.75
33,Agora Inc. ADR (API),582.0K,2.99,0.36,13.69
34,TMD Energy Ltd. (TMDE),173.0K,5.95,0.71,13.55
35,Agenus Inc. (AGEN),567.0K,3.26,0.39,13.44
36,Sagimet Biosciences Inc. (SGMT),157.3K,2.89,0.34,13.33
37,Corsair Gaming Inc. (CRSR),603.9K,6.83,0.8,13.27
38,Chart Industries Inc. (GTLS),505.8K,137.12,16.06,13.27
39,Innodata Inc. (INOD),566.2K,35.37,4.13,13.22
40,D-Wave Quantum Inc. (QBTS),9.2M,7.08,0.82,13.2
41,X Financial ADR (XYF),55.7K,13.16,1.52,13.06
42,MicroAlgo Inc. (MLGO),3.6M,11.11,1.28,13.02
43,Super Micro Computer Inc. (SMCI),22.1M,34.52,3.94,12.87
44,Lumentum Holdings Inc. (LITE),829.7K,58.24,6.59,12.77
45,Semtech Corp. (SMTC),798.0K,27.83,3.14,12.71
46,Astria Therapeutics Inc. (ATXS),286.4K,5.2,0.58,12.55
47,Exagen Inc. (XGN),72.7K,5.44,0.6,12.4
48,Amer Sports Inc. (AS),2.4M,25.0,2.75,12.34
49,LexinFintech Holdings Ltd. ADR (LX),1.3M,8.24,0.91,12.33
50,New Fortress Energy LLC Cl A (NFE),2.1M,5.48,0.59,12.17
51,Allegiant Travel Co. (ALGT),156.6K,46.79,5.07,12.15
52,Gen Digital Inc. Rt (GENVR),66.3K,4.82,0.52,12.09
53,Credo Technology Group Holding Ltd. (CRDO),1.3M,41.48,4.46,12.05
54,Latham Group Inc. (SWIM),97.7K,5.54,0.59,12.04
55,Vertiv Holdings LLC (VRT),8.3M,80.51,8.69,12.1
56,Quantum Corp. (QMCO),238.4K,11.11,1.19,12.0
57,Amphenol Corp. Cl A (APH),4.9M,73.63,7.88,11.98
58,BioLife Solutions Inc. (BLFS),188.8K,24.51,2.62,11.97
59,Herc Holdings Inc. (HRI),119.8K,114.52,12.18,11.9
60,MKS Instruments Inc. (MKSI),502.5K,70.31,7.45,11.85
61,Pagaya Technologies Ltd. (PGY),746.1K,10.49,1.11,11.83
62,TSS Inc. (TSSI),229.5K,7.52,0.8,11.83
63,Aligos Therapeutics Inc. (ALGS),62.6K,5.74,0.6,11.77
64,ACM Research Inc. Cl A (ACMR),575.2K,20.62,2.17,11.73
65,Janover Inc. (JNVR),141.9K,50.12,5.26,11.73
66,East West Bancorp Inc. (EWBC),869.5K,88.4,9.19,11.6
67,Rocket Lab USA Inc. (RKLB),6.3M,21.24,2.2,11.57
68,Coherent Corp. (COHR),1.3M,61.5,6.37,11.55
69,Kingsoft Cloud Holdings Ltd. ADR (KC),1.8M,13.04,1.33,11.41
70,Redwire Corp. (RDW),427.7K,10.5,1.07,11.35
71,Appian Corp. Cl A (APPN),222.9K,29.77,3.03,11.33
