,symbol,price,price_change,price_percent_change
0,HTZ,8.22,2.51,43.87
1,CAR,84.59,11.9,16.37
2,LLY,839.96,105.06,14.3
3,DJT,22.04,2.3,11.65
4,BMI,201.63,17.73,9.64
5,BHVN,20.37,1.69,9.05
6,DJTWW,13.3,1.07,8.75
7,FIS,74.58,5.94,8.65
8,GDS,21.47,1.65,8.32
9,DLTR,79.14,5.93,8.1
10,FIVE,67.53,4.81,7.67
11,VIST,47.81,3.08,6.89
12,CE,40.09,2.56,6.82
13,SMMT,24.61,1.56,6.77
14,VAL,31.89,1.79,5.95
15,AMX,16.13,0.9,5.91
16,TIGO,32.45,1.8,5.87
17,VNOM,41.37,2.29,5.86
18,W,26.61,1.47,5.85
19,OZK,41.63,2.29,5.82
20,FANG,137.64,7.42,5.7
21,RTO,23.08,1.24,5.68
22,NOG,24.19,1.26,5.49
23,WFRD,46.68,2.4,5.41
24,ELF,52.65,2.7,5.41
25,PCVX,30.65,1.53,5.25
26,ANF,72.98,3.61,5.2
27,HAL,22.53,1.1,5.13
28,NE,20.42,0.99,5.1
29,SAIA,334.55,16.05,5.04
30,GAP,19.13,0.9,4.94
31,FUN,33.4,1.56,4.9
32,UAA,5.83,0.27,4.86
33,APA,16.11,0.74,4.85
34,HP,20.59,0.94,4.78
35,UEC,5.05,0.23,4.77
36,IONQ,25.74,1.17,4.76
37,SMG,52.17,2.36,4.74
38,RH,161.13,7.28,4.73
39,NEXT,7.8,0.34,4.62
40,PR,12.03,0.53,4.61
41,JHX,22.48,0.99,4.61
42,CERT,14.15,0.62,4.58
43,FRO,15.44,0.67,4.54
44,DINO,29.03,1.25,4.5
45,WHD,37.81,1.62,4.48
46,AEO,10.74,0.46,4.47
47,ASTS,23.39,1.0,4.47
48,TLK,15.29,0.65,4.44
49,VEON,44.32,1.86,4.38
50,HCC,49.35,2.07,4.38
51,ASND,165.05,6.9,4.36
52,CLS,84.04,3.48,4.32
53,TSEM,35.47,1.45,4.26
54,ELAN,8.44,0.34,4.2
55,CAMT,60.37,2.42,4.18
56,DG,93.07,3.71,4.15
57,NKE,55.76,2.21,4.13
58,SM,23.03,0.91,4.11
59,TREX,55.61,2.19,4.1
60,AUR,6.11,0.24,4.09
61,STX,75.78,2.96,4.06
62,PTEN,6.07,0.24,4.03
63,HDB,72.04,2.78,4.01
64,ANGPY,6.74,0.26,4.01
65,ODFL,153.75,5.9,3.99
66,NOV,12.53,0.48,3.98
67,XENE,35.12,1.35,3.98
68,CHRD,94.43,3.59,3.95
69,BBY,61.97,2.34,3.92
70,IBN,33.22,1.25,3.91
71,VTMX,24.27,0.91,3.9
72,CX,5.4,0.2,3.85
73,BAX,28.89,1.07,3.85
74,ETSY,44.15,1.63,3.83
75,LEVI,14.65,0.54,3.83
76,UPST,40.92,1.5,3.81
77,FWONA,75.12,2.75,3.79
78,MUR,21.37,0.78,3.79
79,FWONK,82.79,3.02,3.79
80,CVE,12.1,0.44,3.77
81,TTD,50.26,1.81,3.74
82,URBN,49.48,1.78,3.73
83,ODD,41.95,1.49,3.7
84,MLTX,38.33,1.35,3.67
85,ADM,47.82,1.69,3.66
86,APP,238.22,8.41,3.66
87,MTH,65.13,2.29,3.64
88,STNE,12.26,0.43,3.63
89,KSPI,85.58,2.99,3.62
90,JBHT,129.23,4.5,3.61
91,PAC,194.59,6.77,3.6
92,UA,5.47,0.19,3.6
93,IX,19.72,0.68,3.57
94,PBR,11.62,0.4,3.57
95,CIVI,28.96,0.98,3.5
96,SNDR,22.48,0.76,3.5
97,RNA,26.66,0.9,3.49
98,GRND,19.58,0.66,3.49
99,REZI,15.77,0.53,3.48
100,XPO,96.74,3.25,3.48
101,BA,161.9,5.43,3.47
102,LYSCF,5.67,0.19,3.47
103,DAR,30.8,1.03,3.46
104,INSM,72.62,2.42,3.45
105,DVN,30.31,1.01,3.45
106,SHAK,83.22,2.77,3.44
107,AESI,14.13,0.47,3.44
108,EL,54.47,1.81,3.44
109,NSA,36.76,1.22,3.43
110,SMFG,13.56,0.45,3.43
111,BLDR,116.94,3.88,3.43
112,YETI,27.86,0.92,3.42
113,DV,12.48,0.41,3.4
114,TSRYY,5.49,0.18,3.39
115,RXRX,5.5,0.18,3.38
116,BG,78.96,2.58,3.38
117,WYNMY,6.45,0.21,3.37
118,TMDX,88.24,2.86,3.35
119,BBWI,28.42,0.92,3.35
120,MTDR,41.47,1.34,3.34
121,SRRK,30.75,0.99,3.33
122,AFRM,42.11,1.35,3.31
123,PRKS,44.38,1.41,3.28
124,OXY,39.71,1.26,3.28
125,ASO,37.85,1.2,3.27
126,RCI,25.91,0.82,3.27
127,LANC,189.03,5.93,3.24
128,KNX,39.39,1.23,3.22
129,OMAB,83.53,2.6,3.21
130,AKR,19.92,0.62,3.21
131,KR,71.22,2.21,3.2
132,NTDOY,18.06,0.56,3.2
133,GGAL,61.95,1.91,3.18
134,BPMC,84.71,2.6,3.17
135,CLSK,7.51,0.23,3.16
136,DHI,121.25,3.71,3.16
137,TIMB,15.37,0.47,3.15
138,CZR,25.53,0.78,3.15
139,APLE,11.88,0.36,3.12
140,FNB,12.61,0.38,3.11
141,MAC,14.68,0.44,3.09
142,HBAN,13.68,0.4,3.05
143,SOFI,10.98,0.32,3.05
144,COP,88.98,2.62,3.03
145,CRC,35.68,1.05,3.03
146,KBH,51.67,1.52,3.03
147,HOG,22.51,0.66,3.02
148,COLD,20.21,0.59,3.01
149,LIF,37.39,1.09,3.0
150,,,,
