,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,PEGA,Pegasystems Inc.,,90.34 +21.58 (+31.38%),21.58,+31.38%,1.167M,963942,7.76B,81.38,+16.78%,
1,TEM,"Tempus AI, Inc.",,49.76 +6.53 (+15.11%),6.53,+15.11%,5.639M,13.516M,8.61B,--,+7.40%,
2,SMTC,Semtech Corporation,,28.17 +3.48 (+14.09%),3.48,+14.09%,774513,3.078M,2.437B,--,-27.17%,
3,SMMT,Summit Therapeutics Inc.,,31.18 +3.83 (+13.98%),3.83,+13.98%,3.074M,2.931M,22.997B,--,+661.84%,
4,MLGO,MicroAlgo Inc.,,11.10 +1.27 (+12.92%),1.27,+12.92%,3.573M,26.198M,110.699M,--,-81.02%,
5,LITE,Lumentum Holdings Inc.,,57.75 +6.11 (+11.83%),6.11,+11.83%,838718,2.999M,3.996B,--,+22.78%,
6,EWBC,"East West Bancorp, Inc.",,88.94 +9.73 (+12.28%),9.73,+12.28%,791925,1.257M,12.256B,10.68,+2.60%,
7,GTLS,"Chart Industries, Inc.",,135.95 +14.89 (+12.30%),14.89,+12.30%,527731,770996,6.109B,32.68,-20.85%,
8,AS,"Amer Sports, Inc.",,24.72 +2.47 (+11.10%),2.47,+11.10%,2.436M,3.942M,13.707B,176.57,+55.27%,
9,CRDO,Credo Technology Group Holding Ltd,,41.35 +4.33 (+11.70%),4.33,+11.70%,1.25M,5.901M,7.021B,1378.33,+108.21%,
10,MKSI,"MKS Instruments, Inc.",,70.17 +7.31 (+11.63%),7.31,+11.63%,511339,1.45M,4.733B,24.97,-44.75%,
11,SITM,SiTime Corporation,,145.60 +15.18 (+11.64%),15.18,+11.64%,33702,353568,3.454B,--,+71.10%,
12,KC,Kingsoft Cloud Holdings Limited,,13.05 +1.35 (+11.57%),1.35,+11.57%,1.805M,4.412M,3.435B,--,+303.45%,
13,APH,Amphenol Corporation,,73.19 +7.44 (+11.32%),7.44,+11.32%,4.816M,8.618M,88.69B,38.12,+13.06%,
14,VRT,Vertiv Holdings Co,,79.97 +8.15 (+11.35%),8.15,+11.35%,8.176M,12.202M,30.453B,62.48,-15.08%,
15,HRI,Herc Holdings Inc.,,113.60 +11.26 (+11.00%),11.26,+11.00%,123735,577098,3.237B,15.35,-33.44%,
16,COHR,Coherent Corp.,,61.17 +6.04 (+10.95%),6.04,+10.95%,1.309M,4.485M,9.479B,--,+5.82%,
17,APPN,Appian Corporation,,29.69 +2.95 (+11.03%),2.95,+11.03%,224229,587426,2.198B,--,-27.06%,
18,BNTX,BioNTech SE,,116.56 +11.88 (+11.35%),11.88,+11.35%,640043,904888,28.02B,--,+18.83%,
19,SMCI,"Super Micro Computer, Inc.",,33.87 +3.29 (+10.76%),3.29,+10.76%,21.466M,75.87M,20.101B,14.73,-59.48%,
20,ALAB,"Astera Labs, Inc.",,61.22 +5.91 (+10.69%),5.91,+10.69%,1.356M,5.144M,9.927B,--,-22.09%,
21,BOOT,"Boot Barn Holdings, Inc.",,103.07 +9.75 (+10.45%),9.75,+10.45%,492460,1.046M,3.153B,18.41,-13.07%,
22,ATI,ATI Inc.,,50.40 +4.79 (+10.50%),4.79,+10.50%,524690,2.299M,7.109B,19.76,-7.33%,
23,HIMS,"Hims & Hers Health, Inc.",,27.96 +2.61 (+10.28%),2.61,+10.28%,7.104M,25.306M,6.211B,52.75,+105.43%,
24,MANH,"Manhattan Associates, Inc.",,178.47 +16.22 (+10.00%),16.22,+10.00%,526834,1.022M,10.836B,50.99,-21.36%,
25,NWL,Newell Brands Inc.,,5.18 +0.47 (+9.85%),0.47,+9.85%,1.981M,9.902M,2.166B,--,-32.95%,
26,CAVA,"CAVA Group, Inc.",,89.33 +8.03 (+9.88%),8.03,+9.88%,985045,3.637M,10.326B,81.21,+34.58%,
27,XPEV,XPeng Inc.,,20.89 +1.82 (+9.52%),1.82,+9.52%,3.579M,13.038M,19.669B,--,+169.35%,
28,NVST,Envista Holdings Corporation,,16.72 +1.55 (+10.22%),1.55,+10.22%,600369,3.012M,2.879B,--,-25.20%,
29,OKLO,Oklo Inc.,,23.50 +1.97 (+9.13%),1.97,+9.13%,6.264M,16.243M,3.266B,--,+60.67%,
30,HOOD,"Robinhood Markets, Inc.",,46.08 +3.99 (+9.48%),3.99,+9.48%,16.345M,43.332M,40.802B,29.54,+143.15%,
31,AUR,"Aurora Innovation, Inc.",,6.71 +0.56 (+9.10%),0.56,+9.10%,3.278M,14.013M,11.856B,--,+116.55%,
32,ASTS,"AST SpaceMobile, Inc.",,23.33 +2.03 (+9.52%),2.03,+9.52%,2.603M,12.024M,7.384B,--,+895.33%,
