,symbol,price,price_change,price_percent_change
0,UPXI,9.89,7.59,330.94
1,SHFS,4.19,1.96,87.89
2,MLGO,11.86,5.08,74.93
3,SBEV,6.65,2.47,59.09
4,MTEN,6.1,1.88,44.55
5,FRGE,12.3,3.61,41.54
6,INHD,8.56,2.33,37.5
7,HPH,8.32,1.76,26.83
8,DWTX,5.37,1.1,25.76
9,PNBK,4.03,0.75,22.87
10,OMH,3.6,0.64,21.62
11,SLDB,3.03,0.48,18.82
12,LXEO,3.21,0.5,18.45
13,BIYA,3.71,0.52,16.3
14,UPC,4.14,0.58,16.29
15,PRTG,9.09,1.25,15.94
16,KOD,3.25,0.41,14.44
17,DYN,9.33,1.16,14.2
18,RZLT,3.14,0.39,14.18
19,INV,3.6,0.43,13.56
20,RCKT,7.17,0.84,13.27
21,TERN,2.71,0.31,12.92
22,RGNX,6.67,0.73,12.29
23,STOK,8.61,0.92,11.96
24,JSPR,4.44,0.47,11.84
25,NPB,13.13,1.38,11.74
26,DBVT,8.91,0.93,11.65
27,AGEN,2.31,0.23,11.06
28,TOI,2.39,0.23,10.65
29,UPB,9.71,0.93,10.59
30,BLIV,3.35,0.31,10.2
31,SPAI,2.7,0.24,9.76
32,REPL,8.76,0.77,9.63
33,NTLA,7.92,0.69,9.54
34,ZBIO,9.75,0.83,9.3
35,XNCR,10.6,0.9,9.28
36,AVR,3.14,0.27,9.22
37,KPTI,5.4,0.45,9.09
38,INM,2.96,0.24,8.97
39,SAIH,4.1,0.33,8.75
40,WTF,7.04,0.56,8.64
41,MAZE,9.13,0.72,8.56
42,COYA,5.71,0.45,8.56
43,KSS,7.02,0.54,8.33
44,VSTM,6.21,0.47,8.19
45,SGMT,2.39,0.18,8.14
46,ECOR,6.51,0.49,8.14
47,CMPS,3.38,0.25,7.99
48,ALTS,5.56,0.41,7.96
49,AVBP,19.54,1.4,7.72
50,SNYR,2.68,0.19,7.63
51,SURG,2.68,0.19,7.63
52,ARWR,12.08,0.84,7.47
53,OLMA,4.75,0.33,7.47
54,RAY,2.74,0.19,7.45
55,BEAM,18.24,1.24,7.29
56,UHG,2.24,0.15,7.18
57,ARTV,2.4,0.16,7.14
58,WIMI,4.5,0.3,7.14
59,CTNM,4.95,0.33,7.14
60,SYRE,13.57,0.9,7.1
61,RNA,28.52,1.86,6.98
62,RAIL,5.98,0.39,6.98
63,SIEB,3.58,0.23,6.87
64,JACK,24.81,1.59,6.85
65,NEOG,4.69,0.3,6.83
66,IDYA,18.18,1.1,6.44
67,CGTL,5.98,0.36,6.41
68,CDTX,20.68,1.25,6.4
69,VVPR,2.7,0.16,6.3
70,AMLX,4.23,0.25,6.28
71,MSPR,2.2,0.13,6.28
72,WWW,11.46,0.67,6.21
73,GPCR,23.1,1.34,6.16
74,CRMD,8.14,0.47,6.13
75,SNCR,10.35,0.59,6.05
76,HSAI,11.61,0.66,6.03
77,CAPR,11.92,0.67,5.96
78,TBPH,9.13,0.51,5.92
79,ATYR,3.28,0.18,5.81
80,CMCL,14.22,0.78,5.8
81,BLMN,8.4,0.45,5.66
82,MB,3.25,0.17,5.52
83,SEAT,2.43,0.13,5.42
84,SAGT,2.42,0.12,5.42
85,EPSM,5.27,0.27,5.42
86,SPCB,6.74,0.34,5.39
87,SKBL,11.95,0.61,5.38
88,TECX,17.92,0.9,5.29
89,ALT,4.79,0.24,5.27
90,International,17.07,0.85,5.24
91,REE,2.64,0.13,5.18
92,FULC,3.46,0.17,5.17
93,BMR,2.24,0.11,5.16
94,DENN,3.27,0.16,5.14
95,MTA,3.3,0.16,5.1
96,PCRX,25.9,1.25,5.07
97,VOXR,3.55,0.17,5.03
98,Cayman,2.31,0.11,5.0
99,AENT,2.95,0.14,4.98
