,Unnamed: 0,Volume,Last,Chg,% Chg
0,Tivic Health Systems Inc. (TIVC),35.2M,7.13,3.63,103.71
1,Oblong Inc. (OBLG),21.7M,3.54,1.4,65.42
2,NovaGold Resources Inc. (NG),24.9M,4.34,1.24,39.71
3,TMD Energy Ltd. (TMDE),952.0K,4.8,1.17,32.23
4,Safe Pro Group Inc. (SPAI),293.7K,3.48,0.78,28.89
5,BriaCell Therapeutics Corp. (BCTX),593.6K,5.35,1.16,27.68
6,VCI Global Ltd. (VCIG),991.5K,3.57,0.73,25.7
7,Agenus Inc. (AGEN),4.6M,2.87,0.56,24.24
8,Bitdeer Technologies Group (BTDR),8.9M,9.38,1.78,23.42
9,Femto Technologies Inc. (FMTO),2.4M,7.33,1.33,22.17
10,Coincheck Group N.V. (CNCK),100.4K,7.37,1.32,21.82
11,Innventure Inc. (INV),220.8K,4.37,0.77,21.39
12,Creative Media & Community Trust Corp. (CMCT),1.0M,5.03,0.87,20.91
13,Antelope Enterprise Holdings Ltd. (AEHL),627.0K,3.1,0.52,20.16
14,QuantaSing Group Ltd. ADR (QSG),550.2K,4.66,0.78,20.1
15,Korro Bio Inc. (KRRO),244.5K,16.34,2.69,19.76
16,Auddia Inc. (AUUD),853.5K,3.87,0.61,18.71
17,Larimar Therapeutics Inc. (LRMR),2.5M,2.38,0.37,18.41
18,AgapeATP Corp. (ATPC),700.9K,2.45,0.38,18.36
19,908 Devices Inc. (MASS),1.4M,5.66,0.86,17.92
20,TeraWulf Inc. (WULF),60.4M,2.65,0.4,17.78
21,CleanSpark Inc. (CLSK),41.7M,8.77,1.3,17.4
22,REGENXBIO Inc. (RGNX),1.6M,7.82,1.15,17.24
23,Cipher Mining Inc. (CIFR),22.4M,2.74,0.4,17.09
24,XIAO-I Corp. ADR (AIXI),101.6K,3.37,0.49,17.01
25,Zhengye Biotechnology Holding Ltd. (ZYBT),1.4M,9.01,1.31,17.01
26,Journey Medical Corp. (DERM),206.5K,7.39,1.06,16.75
27,Capricor Therapeutics Inc. (CAPR),2.3M,13.89,1.97,16.53
28,Zoomcar Holdings Inc. (ZCAR),132.5K,3.68,0.52,16.46
29,Amylyx Pharmaceuticals Inc. (AMLX),2.1M,4.92,0.69,16.31
30,Coya Therapeutics Inc. (COYA),164.8K,6.64,0.93,16.29
31,Bicycle Therapeutics Ltd. ADR (BCYC),826.6K,8.73,1.22,16.25
32,Regulus Therapeutics Inc. (RGLS),2.0M,2.32,0.31,15.42
