,symbol,price,price_change,price_percent_change
0,MLGO,11.86,5.08,74.93
1,FRGE,12.3,3.61,41.54
2,HPH,8.32,1.92,30.0
3,TXHPF,20.03,2.03,11.31
4,RNA,28.52,1.86,6.98
5,DSNKY,22.85,1.15,5.3
6,AMRN,9.55,0.44,4.83
7,ATHM,27.04,1.22,4.73
8,MLTX,40.0,1.67,4.37
9,KTB,57.33,2.33,4.24
10,NCLTY,12.66,0.48,3.94
11,SVNDY,14.25,0.53,3.86
12,EXAS,43.1,1.52,3.66
13,TBBB,26.94,0.95,3.66
14,YMM,10.43,0.36,3.57
15,DFS,165.31,5.68,3.56
16,ANGI,12.0,0.4,3.45
17,BVN,14.77,0.47,3.29
18,GOFPY,11.36,0.36,3.27
19,BANF,113.08,3.54,3.23
20,BNTX,101.81,3.05,3.09
21,ZLAB,29.71,0.87,3.02
22,,,,
