,Unnamed: 0,Volume,Last,Chg,% Chg
0,Portage Biotech Inc. (PRTG),31.3M,8.59,3.49,68.43
1,CeriBell Inc. (CBLL),2.3M,15.0,3.85,34.53
2,MarketWise Inc. (MKTW),220.7K,13.37,3.32,33.03
3,Regencell Bioscience Holdings Ltd. (RGC),209.0K,36.28,8.04,28.47
4,Recursion Pharmaceuticals Inc. (RXRX),83.4M,5.76,1.25,27.72
5,Schrodinger Inc. (SDGR),4.0M,24.49,5.27,27.42
6,Simulations Plus Inc. (SLP),1.8M,32.65,6.91,26.85
7,WISeKey International Holding Ltd. ADR (WKEY),353.8K,4.23,0.88,26.27
8,Hydrofarm Holdings Group Inc. (HYFM),864.1K,2.71,0.56,26.05
9,SBC Medical Group Holdings Inc. (SBC),80.7K,4.2,0.8,23.53
10,Absci Corp. (ABSI),7.2M,3.02,0.56,23.01
11,Certara Inc. (CERT),9.7M,12.91,2.4,22.84
12,Neurogene Inc. (NGNE),644.3K,11.0,2.03,22.63
13,Zai Lab Ltd. ADR (ZLAB),3.0M,29.54,5.22,21.46
14,BioNexus Gene Lab Corp. (BGLC),29.8M,2.63,0.46,21.2
15,Phathom Pharmaceuticals Inc. (PHAT),1.3M,4.88,0.77,18.73
16,Cybin Inc. (CYBN),560.8K,6.8,1.06,18.47
17,MBX Biosciences Inc. (MBX),1.2M,7.41,1.14,18.18
18,Focus Universal Inc. (FCUV),186.4K,4.57,0.69,17.78
19,Silence Therapeutics PLC ADR (SLN),376.6K,2.57,0.38,17.35
20,Zenas BioPharma Inc. (ZBIO),179.5K,7.93,1.15,16.96
21,Vision Marine Technologies Inc. (VMAR),164.9K,6.76,0.97,16.75
22,AbCellera Biologics Inc. (ABCL),5.4M,2.4,0.33,15.94
23,Lianhe Sowell International Group Ltd. (LHSW),1.7M,3.61,0.48,15.34
24,Summit Therapeutics Inc. (SMMT),6.7M,23.24,3.09,15.33
25,Upstream Bio Inc. (UPB),303.7K,7.37,0.97,15.16
26,scPharmaceuticals Inc. (SCPH),620.1K,2.32,0.3,15.14
27,Nutex Health Inc. (NUTX),245.0K,132.03,17.28,15.06
28,A2Z Cust2Mate Solutions Corp. (AZ),139.9K,8.0,1.03,14.86
29,Omeros Corp. (OMER),826.1K,6.73,0.87,14.85
30,CRISPR Therapeutics AG (CRSP),3.6M,39.3,5.04,14.71
31,Orchestra BioMed Holdings Inc. (OBIO),73.7K,2.98,0.38,14.62
32,AXIL Brands Inc. (AXIL),73.7K,5.1,0.65,14.61
