,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,RXRX,"Recursion Pharmaceuticals, Inc.",,5.76 +1.25 (+27.72%),1.25,+27.72%,82.996M,24.068M,2.315B,-,-46.37%,
1,CERT,"Certara, Inc.",,12.91 +2.40 (+22.84%),2.4,+22.84%,9.651M,1.514M,2.085B,-,-40.52%,
2,ZLAB,Zai Lab Limited,,29.54 +5.22 (+21.46%),5.22,+21.46%,2.996M,1.075M,3.743B,-,69.95%,
3,HNHPF,"Hon Hai Precision Industry Co., Ltd.",,8.35 +1.15 (+16.24%),1.15,+16.24%,19275,54987,61.412B,12.85,-22.11%,
4,SMMT,Summit Therapeutics Inc.,,23.24 +3.09 (+15.33%),3.09,+15.33%,6.641M,2.675M,17.144B,-,449.80%,
5,CRSP,CRISPR Therapeutics AG,,39.30 +5.04 (+14.71%),5.04,+14.71%,3.642M,2.278M,3.371B,-,-43.53%,
6,KC,Kingsoft Cloud Holdings Limited,,14.22 +1.57 (+12.41%),1.57,+12.41%,5.044M,3.979M,3.596B,-,368.52%,
7,GLNG,Golar LNG Limited,,37.27 +3.88 (+11.62%),3.88,+11.62%,3.738M,1.68M,3.899B,77.65,33.72%,
8,XPEV,XPeng Inc.,,20.00 +2.03 (+11.30%),2.03,+11.30%,21.344M,13.024M,19.41B,-,140.88%,
9,PCVX,"Vaxcyte, Inc.",,31.20 +3.16 (+11.27%),3.16,+11.27%,4.047M,1.901M,4.017B,-,-54.69%,
10,BBAR,Banco BBVA Argentina S.A.,,17.79 +1.73 (+10.77%),1.73,+10.77%,1.054M,747954,4.643B,10.85,84.81%,
11,FRO,Frontline plc,,15.50 +1.47 (+10.48%),1.47,+10.48%,4.722M,3.43M,3.451B,6.95,-41.74%,
12,BMA,Banco Macro S.A.,,78.85 +7.35 (+10.28%),7.35,+10.28%,720279,354633,6.632B,10.33,38.94%,
13,IVPAF,Ivanhoe Mines Ltd.,,8.50 +0.79 (+10.25%),0.79,+10.25%,15415,307774,11.509B,50.00,-41.94%,
14,MSTR,Strategy Incorporated,,299.98 +27.64 (+10.15%),27.64,+10.15%,21.156M,18.737M,79.848B,-,84.07%,
15,AU,AngloGold Ashanti plc,,42.79 +3.94 (+10.14%),3.94,+10.14%,6.617M,2.725M,21.546B,18.36,62.89%,
16,GGAL,Grupo Financiero Galicia S.A.,,53.87 +4.95 (+10.12%),4.95,+10.12%,2.363M,1.161M,11.475B,5.68,65.21%,
17,MPWR,"Monolithic Power Systems, Inc.",,533.13 +48.42 (+9.99%),48.42,+9.99%,2.142M,1.017M,25.519B,14.57,-26.36%,
18,RNECY,Renesas Electronics Corporation,,5.90 +0.52 (+9.67%),0.52,+9.67%,237874,889719,22.285B,14.39,-36.01%,
19,HCM,HUTCHMED (China) Limited,,13.72 +1.19 (+9.50%),1.19,+9.50%,192466,98040,2.346B,68.60,-29.92%,
20,TGS,Transportadora de Gas del Sur S.A.,,25.39 +2.10 (+9.02%),2.1,+9.02%,325425,330253,5.347B,11.14,37.81%,
21,YPF,YPF Sociedad Anónima,,30.03 +2.45 (+8.88%),2.45,+8.88%,3.321M,2.041M,15.581B,5.01,30.28%,
22,TEO,Telecom Argentina S.A.,,11.07 +0.90 (+8.85%),0.9,+8.85%,277223,191583,4.23B,5.08,34.88%,
23,DSCSY,Disco Corporation,,19.41 +1.55 (+8.68%),1.55,+8.68%,65613,270575,22.039B,25.54,-50.24%,
24,MRUS,Merus N.V.,,41.97 +3.35 (+8.67%),3.35,+8.67%,832213,715230,2.9B,-,-7.72%,
25,VONOY,Vonovia SE,,15.35 +1.22 (+8.63%),1.22,+8.63%,33172,92135,25.262B,-,5.93%,
26,IMPUY,Impala Platinum Holdings Limited,,6.06 +0.48 (+8.60%),0.48,+8.60%,62572,224969,5.435B,-,4.10%,
27,CRNX,"Crinetics Pharmaceuticals, Inc.",,29.11 +2.26 (+8.42%),2.26,+8.42%,1.358M,1.086M,2.709B,-,-39.78%,
28,MHVIY,Mitsubishi Heavy Industries Ltd,,35.23 +2.73 (+8.40%),2.73,+8.40%,20519,981894,61.667B,33.55,33.41%,
29,ANGPY,Anglo American Platinum Limited,,6.01 +0.46 (+8.29%),0.46,+8.29%,89040,129830,9.531B,26.13,-24.06%,
30,HCC,"Warrior Met Coal, Inc.",,47.37 +3.61 (+8.25%),3.61,+8.25%,1.075M,983429,2.49B,9.89,-30.00%,
31,VIST,"Vista Energy, S.A.B. de C.V.",,38.15 +2.87 (+8.13%),2.87,+8.13%,1.344M,988743,4.048B,8.24,-18.41%,
32,STM,STMicroelectronics N.V.,,20.45 +1.52 (+8.03%),1.52,+8.03%,10.712M,8.005M,18.28B,12.32,-53.92%,
33,NEM,Newmont Corporation,,54.97 +4.03 (+7.91%),4.03,+7.91%,29.151M,11.482M,61.965B,19.22,31.83%,
34,CDE,"Coeur Mining, Inc.",,5.92 +0.43 (+7.83%),0.43,+7.83%,18.981M,20.102M,3.784B,39.47,18.32%,
35,BURBY,Burberry Group plc,,9.09 +0.66 (+7.83%),0.66,+7.83%,99414,86909,3.265B,64.93,-41.97%,
36,HOOD,"Robinhood Markets, Inc.",,43.68 +3.17 (+7.83%),3.17,+7.83%,50.918M,41.626M,38.677B,28.00,125.43%,
37,AUOTY,AUO Corporation,,5.10 +0.36 (+7.59%),0.36,+7.59%,33260,81962,3.849B,-,-13.97%,
38,ORLA,Orla Mining Ltd.,,10.62 +0.74 (+7.49%),0.74,+7.49%,1.811M,1.154M,3.424B,39.33,149.49%,
39,FUTU,Futu Holdings Limited,,80.39 +5.58 (+7.46%),5.58,+7.46%,5.046M,3.141M,11.088B,16.08,30.13%,
40,EGO,Eldorado Gold Corporation,,19.34 +1.34 (+7.44%),1.34,+7.44%,4.202M,2.13M,3.974B,13.25,18.89%,
41,IPXHY,Inpex Corporation,,12.46 +0.86 (+7.41%),0.86,+7.41%,29341,151838,15.508B,5.26,-30.11%,
42,GLNCY,Glencore plc,,6.82 +0.47 (+7.40%),0.47,+7.40%,373872,1.21M,41.096B,-,-47.07%,
43,HII,"Huntington Ingalls Industries, Inc.",,215.74 +14.85 (+7.39%),14.85,+7.39%,1.473M,803451,8.465B,15.45,-27.14%,
44,AGX,"Argan, Inc.",,148.17 +10.17 (+7.37%),10.17,+7.37%,421553,459114,2.02B,24.09,130.89%,
45,CRK,"Comstock Resources, Inc.",,19.37 +1.32 (+7.31%),1.32,+7.31%,2.307M,2.48M,5.674B,-,88.81%,
46,ALVO,Alvotech,,8.79 +0.59 (+7.20%),0.59,+7.20%,106422,162337,2.653B,-,-33.01%,
47,WFRD,Weatherford International plc,,43.00 +2.88 (+7.18%),2.88,+7.18%,1.761M,1.528M,3.132B,6.37,-65.90%,
48,BRPHF,Galaxy Digital Holdings Ltd.,,11.00 +0.73 (+7.11%),0.73,+7.11%,22204,213061,3.755B,20.00,9.48%,
49,BACHY,Bank of China Limited,,14.08 +0.93 (+7.07%),0.93,+7.07%,20014,37174,213.748B,5.50,28.17%,
50,GOLD,Barrick Gold Corporation,,20.59 +1.35 (+7.02%),1.35,+7.02%,39.865M,24.731M,35.412B,16.88,7.73%,
51,VRNA,Verona Pharma plc,,57.71 +3.78 (+7.01%),3.78,+7.01%,959579,1.458M,7.682B,-,238.97%,
52,PAM,Pampa Energía S.A.,,69.59 +4.53 (+6.96%),4.53,+6.96%,210079,251880,4.893B,6.05,44.00%,
53,MRNA,"Moderna, Inc.",,26.20 +1.70 (+6.94%),1.7,+6.94%,10.963M,11.892M,10.13B,-,-76.70%,
54,NUVL,"Nuvalent, Inc.",,66.29 +4.30 (+6.94%),4.3,+6.94%,583728,564345,4.746B,-,-5.37%,
55,SLNO,"Soleno Therapeutics, Inc.",,67.23 +4.36 (+6.93%),4.36,+6.93%,978584,1.102M,3.083B,-,69.28%,
56,EC,Ecopetrol S.A.,,8.80 +0.57 (+6.93%),0.57,+6.93%,3.315M,2.908M,19.142B,5.61,-29.66%,
57,JSAIY,J Sainsbury plc,,12.54 +0.81 (+6.91%),0.81,+6.91%,54252,48083,7.458B,33.89,-9.98%,
58,ASXFY,ASX Limited,,43.40 +2.78 (+6.84%),2.78,+6.84%,19081,21924,8.528B,28.93,-1.17%,
59,GT,The Goodyear Tire & Rubber Company,,9.67 +0.61 (+6.73%),0.61,+6.73%,7.902M,6.338M,2.757B,40.29,-26.16%,
60,INTR,"Inter & Co, Inc.",,5.40 +0.34 (+6.72%),0.34,+6.72%,3.021M,2.758M,2.374B,15.88,-5.95%,
61,HTHIY,"Hitachi, Ltd.",,22.58 +1.42 (+6.71%),1.42,+6.71%,53457,281975,108.247B,26.56,-43.89%,
62,PTCT,"PTC Therapeutics, Inc.",,42.98 +2.69 (+6.68%),2.69,+6.68%,1.472M,891853,3.39B,-,52.50%,
63,PPRUY,Kering SA,,19.50 +1.22 (+6.67%),1.22,+6.67%,116912,394227,23.907B,19.31,-50.78%,
64,RGEN,Repligen Corporation,,122.86 +7.67 (+6.66%),7.67,+6.66%,976232,744175,6.902B,-,-32.85%,
65,CART,Maplebear Inc.,,41.17 +2.57 (+6.66%),2.57,+6.66%,4.892M,4.51M,10.808B,26.06,2.09%,
66,MOS,The Mosaic Company,,25.81 +1.61 (+6.65%),1.61,+6.65%,6.237M,5.97M,8.18B,46.93,-22.24%,
67,BYDDY,BYD Company Limited,,96.35 +5.99 (+6.63%),5.99,+6.63%,247098,767901,146.451B,25.56,71.85%,
68,TOELY,Tokyo Electron Limited,,68.53 +4.25 (+6.61%),4.25,+6.61%,27130,153903,65.545B,17.57,-49.12%,
69,CSWI,"CSW Industrials, Inc.",,300.61 +18.61 (+6.60%),18.61,+6.60%,144068,136656,5.045B,36.09,19.48%,
70,SCBFY,Standard Chartered PLC,,25.58 +1.58 (+6.58%),1.58,+6.58%,217466,116314,30.191B,9.27,44.14%,
71,MUSA,Murphy USA Inc.,,513.92 +31.74 (+6.58%),31.74,+6.58%,577172,253901,10.173B,21.32,16.97%,
72,MARA,"MARA Holdings, Inc.",,12.51 +0.77 (+6.56%),0.77,+6.56%,34.724M,38.858M,4.326B,7.27,-27.13%,
73,HMY,Harmony Gold Mining Company Limited,,17.16 +1.04 (+6.48%),1.04,+6.48%,9.996M,7.526M,10.677B,20.43,78.27%,
74,SRRK,Scholar Rock Holding Corporation,,28.00 +1.69 (+6.42%),1.69,+6.42%,1.762M,1.078M,2.651B,-,95.61%,
75,FAST,Fastenal Company,,80.64 +4.85 (+6.40%),4.85,+6.40%,7.392M,3.645M,46.243B,40.32,7.58%,
76,CHWY,"Chewy, Inc.",,34.66 +2.08 (+6.38%),2.08,+6.38%,7.819M,5.429M,14.337B,38.09,84.69%,
77,FCX,Freeport-McMoRan Inc.,,33.35 +2.00 (+6.38%),2.0,+6.38%,23.862M,18.168M,47.926B,25.65,-36.63%,
78,FA,First Advantage Corporation,,14.71 +0.88 (+6.36%),0.88,+6.36%,1.011M,1.118M,2.552B,-,-10.77%,
79,ARGX,argenx SE,,580.94 +34.72 (+6.36%),34.72,+6.36%,532023,337527,35.432B,45.49,44.49%,
80,SSUMY,Sumitomo Corporation,,22.63 +1.34 (+6.29%),1.34,+6.29%,19320,82595,28.832B,10.01,-15.35%,
81,XIACF,Xiaomi Corporation,,5.78 +0.34 (+6.25%),0.34,+6.25%,30095,192345,146.536B,44.46,176.59%,
82,GH,"Guardant Health, Inc.",,43.71 +2.57 (+6.25%),2.57,+6.25%,2.167M,2.342M,5.395B,-,125.30%,
83,SCGLY,Société Générale Société anonyme,,8.68 +0.51 (+6.24%),0.51,+6.24%,104091,688746,33.699B,9.04,47.74%,
84,TSCDY,Tesco PLC,,13.12 +0.77 (+6.23%),0.77,+6.23%,404964,368843,30.607B,14.74,15.26%,
85,STVN,Stevanato Group S.p.A.,,21.91 +1.28 (+6.20%),1.28,+6.20%,321295,363020,5.979B,46.62,-29.81%,
86,NE,Noble Corporation plc,,19.91 +1.16 (+6.19%),1.16,+6.19%,2.431M,2.563M,3.161B,6.73,-61.55%,
87,FQVLF,First Quantum Minerals Ltd.,,11.68 +0.68 (+6.18%),0.68,+6.18%,20511,208651,9.744B,-,1.54%,
88,RNA,"Avidity Biosciences, Inc.",,25.58 +1.47 (+6.10%),1.47,+6.10%,1.534M,1.512M,3.075B,-,0.08%,
89,RVMD,"Revolution Medicines, Inc.",,35.72 +2.05 (+6.09%),2.05,+6.09%,1.815M,1.555M,6.641B,-,-6.65%,
90,TWST,Twist Bioscience Corporation,,38.85 +2.22 (+6.06%),2.22,+6.06%,1.136M,1.112M,2.317B,-,19.39%,
