,symbol,price,price_change,price_percent_change
0,BRPHF,13.18,2.2,20.04
1,CLSK,8.77,1.3,17.4
2,MARA,14.06,1.77,14.4
3,ROOT,134.95,16.56,13.99
4,EFX,245.08,29.79,13.84
5,RIOT,7.12,0.83,13.2
6,CALX,37.61,4.36,13.11
7,HCM,15.6,1.71,12.31
8,DNLI,14.6,1.45,11.03
9,RH,172.8,17.01,10.92
10,FSLR,135.35,12.9,10.53
11,ATKR,62.66,5.93,10.45
12,PAGS,9.35,0.88,10.39
13,FUJIY,10.36,0.94,9.98
14,AMRN,10.46,0.91,9.53
15,ZLAB,32.53,2.82,9.49
16,XIACF,5.8,0.5,9.43
17,XIACY,28.92,2.47,9.34
18,SWTX,40.5,3.44,9.28
19,PNR,86.24,7.28,9.22
20,ADMA,21.39,1.75,8.91
21,SRAD,25.04,2.03,8.82
22,HTZ,8.52,0.69,8.81
23,STNE,13.12,1.06,8.79
24,COIN,190.0,15.0,8.57
25,SOUN,8.14,0.64,8.53
26,SMMT,27.35,2.13,8.45
27,PENN,14.99,1.16,8.39
28,PHM,100.89,7.78,8.36
29,IVZ,13.49,1.03,8.27
30,CVNA,211.95,16.12,8.23
31,MMM,136.33,10.24,8.12
32,PTON,5.75,0.43,8.08
33,APGE,35.5,2.65,8.07
34,RDDT,101.66,7.51,7.98
35,MSTR,343.03,25.27,7.95
36,AFRM,43.82,3.17,7.8
37,AUR,6.15,0.44,7.71
38,TAL,10.75,0.76,7.61
39,VKTX,25.48,1.76,7.42
40,SRPT,59.31,4.08,7.39
41,YUMC,44.78,3.08,7.39
42,BYDDY,98.44,6.74,7.35
43,MAN,42.86,2.89,7.23
44,SIG,56.19,3.78,7.21
45,CATY,41.35,2.75,7.12
46,CZR,26.75,1.75,7.0
47,LEGN,34.48,2.24,6.95
48,TWST,36.94,2.38,6.89
49,UCB,26.27,1.69,6.88
50,QFIN,37.93,2.44,6.88
51,TRU,75.56,4.85,6.86
52,RKT,12.34,0.79,6.84
53,DGX,172.84,10.98,6.78
54,BYDDF,49.18,3.08,6.68
55,PI,74.29,4.62,6.63
56,LKNCY,32.01,1.98,6.59
57,WGS,96.89,5.85,6.43
58,ZK,19.56,1.18,6.42
59,DUOL,336.34,20.27,6.41
60,FUTU,85.34,5.12,6.38
61,SMMYY,5.67,0.34,6.38
62,IONQ,25.56,1.53,6.37
63,KC,11.7,0.7,6.36
64,MTSUY,18.32,1.09,6.33
65,CHWY,36.02,2.14,6.32
66,W,27.44,1.63,6.32
67,MOH,321.16,19.07,6.31
68,VRT,71.82,4.25,6.29
69,BHF,51.82,3.03,6.21
70,CRDO,37.02,2.16,6.2
71,INTR,6.04,0.35,6.15
72,SRRK,31.64,1.83,6.14
73,NRG,98.8,5.71,6.13
74,GE,189.18,10.83,6.07
75,OS,19.79,1.13,6.06
76,CRS,177.38,9.98,5.96
77,PAY,30.01,1.67,5.89
78,RUM,7.56,0.42,5.88
79,IESC,177.52,9.85,5.87
80,LNVGY,21.66,1.2,5.87
81,XENE,36.73,2.03,5.85
82,DVN,31.2,1.72,5.83
83,GPN,71.39,3.92,5.81
84,DFH,22.26,1.22,5.8
85,TOL,97.47,5.34,5.8
86,LAZ,36.4,1.99,5.78
87,COHR,55.13,3.01,5.78
88,TMHC,58.79,3.2,5.76
89,OGN,11.24,0.61,5.74
90,VST,112.63,6.11,5.74
91,BURBY,9.04,0.49,5.73
92,CE,41.56,2.25,5.72
93,RGTI,8.57,0.46,5.67
94,WTS,204.19,10.93,5.66
95,SPOT,590.39,31.57,5.65
96,MTH,68.16,3.64,5.64
97,CCOJY,9.18,0.49,5.64
98,HSHCY,11.44,0.61,5.63
99,HOOD,42.09,2.24,5.62
100,GDS,22.4,1.19,5.61
101,OKLO,21.53,1.14,5.59
102,BZLFY,15.78,0.83,5.55
103,RGEN,138.93,7.29,5.54
104,WIX,154.61,8.11,5.54
105,SLG,53.0,2.77,5.51
106,BASFY,12.44,0.65,5.51
107,NBIS,21.86,1.14,5.5
108,TEM,43.23,2.25,5.49
109,UPST,41.93,2.18,5.48
110,SOFI,11.27,0.58,5.43
111,FTAI,92.04,4.69,5.37
112,RCL,199.67,10.16,5.36
113,PPRUY,19.48,0.99,5.35
114,IBP,162.4,8.19,5.31
115,TBBK,45.82,2.31,5.31
116,NFLX,1040.34,52.43,5.31
117,HUM,258.92,13.01,5.29
118,FLG,10.98,0.55,5.27
119,CAR,84.89,4.23,5.24
120,GT,10.45,0.52,5.24
121,WRB,70.85,3.52,5.23
122,MHO,109.33,5.43,5.23
123,FQVLF,12.1,0.6,5.22
124,BABA,115.88,5.73,5.2
125,MU,70.21,3.47,5.2
126,TEVA,14.0,0.69,5.18
127,DJT,23.65,1.16,5.16
128,WTFC,106.66,5.23,5.16
129,CRHKY,7.39,0.36,5.12
130,SGHC,7.85,0.38,5.09
131,KBH,53.66,2.59,5.07
132,SIEGY,109.51,5.26,5.05
133,BCS,15.23,0.73,5.03
134,EVR,184.26,8.8,5.02
135,VWAGY,10.73,0.51,4.99
136,SHOP,85.71,4.07,4.99
137,FRHC,132.93,6.31,4.98
138,FIVE,71.46,3.39,4.98
139,OMF,45.82,2.17,4.97
140,DRPRY,5.08,0.24,4.96
141,ATGE,102.14,4.82,4.95
142,APPF,220.29,10.39,4.95
143,BBAR,20.78,0.98,4.95
144,MBGYY,14.68,0.69,4.93
145,FA,13.63,0.64,4.93
146,TPL,1310.43,61.46,4.92
147,SXT,78.4,3.67,4.91
148,BAYRY,6.22,0.29,4.89
149,BMRN,61.5,2.85,4.86
150,ZWS,31.13,1.44,4.85
151,CELH,37.84,1.75,4.85
152,SYBT,71.38,3.3,4.85
153,GSHD,103.22,4.77,4.85
154,BMA,93.17,4.3,4.84
155,ELAN,8.89,0.41,4.83
156,ESI,18.87,0.87,4.83
157,EAT,156.89,7.23,4.83
158,IMO,67.97,3.12,4.81
159,GRBK,57.17,2.61,4.78
160,XPEV,19.07,0.87,4.78
161,U,20.17,0.92,4.78
162,ROAD,77.06,3.48,4.73
163,MGM,30.28,1.36,4.7
164,BOOT,93.32,4.19,4.7
165,TRV,261.31,11.72,4.7
166,CRBG,28.25,1.26,4.67
167,KNF,88.35,3.94,4.67
168,LFUS,163.38,7.25,4.64
169,SNEX,81.97,3.63,4.63
170,BAM,49.47,2.19,4.63
171,JHG,30.96,1.37,4.63
172,CROX,93.59,4.13,4.62
173,SFTBY,24.26,1.07,4.61
174,TSLA,237.97,10.47,4.6
175,NET,106.81,4.7,4.6
176,TPH,30.93,1.36,4.6
177,MT,27.77,1.22,4.6
178,QGEN,42.34,1.86,4.59
179,WMMVY,32.33,1.42,4.59
180,ALKT,25.1,1.1,4.58
181,WAT,330.71,14.48,4.58
182,CVLT,149.6,6.55,4.58
183,GENI,10.32,0.45,4.56
184,ULS,55.51,2.42,4.56
185,DB,24.33,1.06,4.56
186,CSAN,5.08,0.22,4.53
187,ICAGY,6.74,0.29,4.5
188,CKHUY,5.58,0.24,4.49
189,WST,215.13,9.25,4.49
